reconstruction_loss,quantization_name,beta,encoder offset,in_features,codebook_size,influence,lifetime,influence_decay,research_mode,codebook offset,val/MSELoss,val/codebook_entropy,val/loss_commitment,val/loss_codebook,test/MSELoss,test/codebook_entropy,test/loss_commitment,test/loss_codebook,best/MSELoss,best/codebook_entropy
MSELoss,Lightning_VQ_VAE_ema,0.25,1.0,2.0,512.0,,,,1.0,0.0,0.004712278489023447,4.9863691329956055,0.0016556434566155076,0.0,0.0,0.0,0.0,0.0,0.004495350178331137,4.961878776550293
MSELoss,Lightning_VQ_VAE_ema,0.25,1.0,2.0,512.0,,,,1.0,0.0,0.004500261042267084,6.030725479125977,0.0005436225328594446,0.0,0.0,0.0,0.0,0.0,0.0044079613871872425,6.071238040924072
MSELoss,Lightning_VQ_VAE_ema,0.25,1.0,2.0,512.0,,,,1.0,0.0,0.004537166561931372,6.0671610832214355,0.00056982203386724,0.0,0.0,0.0,0.0,0.0,0.004416922573000193,5.9879150390625
MSELoss,Lightning_VQ_VAE_ema,0.25,2.0,2.0,512.0,,,,1.0,0.0,0.004648562520742416,4.960365295410156,0.0016179142985492945,0.0,0.0,0.0,0.0,0.0,0.0046324292197823524,4.933040618896484
MSELoss,Lightning_VQ_VAE_ema,0.25,2.0,2.0,512.0,,,,1.0,0.0,0.007398651912808418,4.240704536437988,0.00018218684999737889,0.0,0.0,0.0,0.0,0.0,0.007398651912808418,4.240704536437988
MSELoss,Lightning_VQ_VAE_ema,0.25,2.0,2.0,512.0,,,,1.0,0.0,0.004717727657407522,4.848965644836426,0.0015781812835484743,0.0,0.0,0.0,0.0,0.0,0.0046408516354858875,4.832919120788574
MSELoss,Lightning_VQ_VAE_ema,0.25,3.0,2.0,512.0,,,,1.0,0.0,0.004859251901507378,4.2663493156433105,0.0027505732141435146,0.0,0.0,0.0,0.0,0.0,0.004859251901507378,4.2663493156433105
MSELoss,Lightning_VQ_VAE_ema,0.25,3.0,2.0,512.0,,,,1.0,0.0,0.004454668145626783,6.080878734588623,0.0005225187633186579,0.0,0.0,0.0,0.0,0.0,0.004454668145626783,6.080878734588623
MSELoss,Lightning_VQ_VAE_ema,0.25,3.0,2.0,512.0,,,,1.0,0.0,0.00793108157813549,3.8467817306518555,0.00038623419823125005,0.0,0.0,0.0,0.0,0.0,0.007901529781520367,3.8333702087402344
MSELoss,Lightning_VQ_VAE_ema,0.25,4.0,2.0,512.0,,,,1.0,0.0,0.005522656254470348,6.0494890213012695,0.0006700800149701536,0.0,0.0,0.0,0.0,0.0,0.004337423015385866,6.029107093811035
MSELoss,Lightning_VQ_VAE_ema,0.25,4.0,2.0,512.0,,,,1.0,0.0,0.010813194327056408,1.6069447994232178,0.006897265557199717,0.0,0.0,0.0,0.0,0.0,0.010440502315759659,1.601872205734253
MSELoss,Lightning_VQ_VAE_ema,0.25,4.0,2.0,512.0,,,,1.0,0.0,0.005445597227662802,4.236903667449951,0.0026597175747156143,0.0,0.0,0.0,0.0,0.0,0.004799144808202982,4.227823734283447
MSELoss,Lightning_VQ_VAE_ema,0.25,5.0,2.0,512.0,,,,1.0,0.0,0.005184488371014595,5.226640224456787,0.0011963582364842296,0.0,0.0,0.0,0.0,0.0,0.004451281391084194,5.214937686920166
MSELoss,Lightning_VQ_VAE_ema,0.25,5.0,2.0,512.0,,,,1.0,0.0,0.008415786549448967,2.344559669494629,0.0026330091059207916,0.0,0.0,0.0,0.0,0.0,0.008351895958185196,2.3317761421203613
MSELoss,Lightning_VQ_VAE_ema,0.25,5.0,2.0,512.0,,,,1.0,0.0,0.00954980868846178,1.9205960035324097,0.005192987620830536,0.0,0.0,0.0,0.0,0.0,0.009239002130925655,1.9188182353973389
MSELoss,Lightning_VQ_VAE_ema,0.25,6.0,2.0,512.0,,,,1.0,0.0,0.007789613679051399,3.014357566833496,0.001088144606910646,0.0,0.0,0.0,0.0,0.0,0.007761017419397831,3.009857177734375
MSELoss,Lightning_VQ_VAE_ema,0.25,6.0,2.0,512.0,,,,1.0,0.0,0.013947009108960629,1.0440813302993774,0.01125185564160347,0.0,0.0,0.0,0.0,0.0,0.013674328103661537,1.0511789321899414
MSELoss,Lightning_VQ_VAE_ema,0.25,6.0,2.0,512.0,,,,1.0,0.0,0.00793374516069889,3.6481776237487793,0.0005532996146939695,0.0,0.0,0.0,0.0,0.0,0.00769472261890769,3.6306514739990234
MSELoss,Lightning_VQ_VAE_codebook_loss,0.25,0.0,2.0,512.0,,,,1.0,0.0,0.004242913797497749,6.086140155792236,0.0005535532836802304,0.0005535532836802304,0.0,0.0,0.0,0.0,0.004207076504826546,6.074826717376709
