reconstruction_loss,quantization_name,beta,in_features,codebook_size,decay,research_mode,val/MultiscaleSpectralLossL1,val/codebook_entropy,val/loss_commitment,val/loss_codebook,test/MultiscaleSpectralLossL1,test/codebook_entropy,test/loss_commitment,test/loss_codebook,best/MultiscaleSpectralLossL1,best/codebook_entropy,best/loss_commitment,best/loss_codebook
MultiscaleSpectralLossL1,Lightning_VQ_VAE_codebook_loss,0.25,128.0,256.0,,1.0,119840.1171875,1.6545506715774536,1329729.0,1329729.0,93430.015625,2.1371428966522217,1688008.0,1688008.0,93874.3359375,2.1170451641082764,1640773.625,1640773.625
MultiscaleSpectralLossL1,Lightning_VQ_VAE_codebook_loss,0.25,16.0,256.0,,1.0,101924.140625,1.5443286895751953,2395892.75,2395892.75,95762.59375,1.9083507061004639,5190914.5,5190914.5,95456.5703125,1.8861349821090698,5595813.0,5595813.0
MultiscaleSpectralLossL1,Lightning_VQ_VAE_codebook_loss,0.25,2.0,256.0,,1.0,97435.96875,2.5672149658203125,802811.4375,802811.4375,96169.4296875,2.593057632446289,778676.0625,778676.0625,97435.96875,2.5672149658203125,802811.4375,802811.4375
MultiscaleSpectralLossL1,Lightning_VQ_VAE_codebook_loss,0.25,32.0,256.0,,1.0,111487.5859375,1.8425590991973877,5429930.0,5429930.0,98287.484375,1.7067363262176514,7146801.0,7146801.0,98911.4140625,1.6916100978851318,8064901.0,8064901.0
MultiscaleSpectralLossL1,Lightning_VQ_VAE_codebook_loss,0.25,4.0,256.0,,1.0,111969.1796875,2.174229621887207,1430611.0,1430611.0,103966.671875,2.165231704711914,7497073.0,7497073.0,104316.2421875,2.168246030807495,7338503.5,7338503.5
MultiscaleSpectralLossL1,Lightning_VQ_VAE_codebook_loss,0.25,64.0,256.0,,1.0,100068.0078125,2.176675796508789,4011712.75,4011712.75,95926.703125,2.2540395259857178,5941256.5,5941256.5,95376.3046875,2.281989097595215,6349548.5,6349548.5
MultiscaleSpectralLossL1,Lightning_VQ_VAE_codebook_loss,0.25,8.0,256.0,,1.0,97602.640625,1.7531241178512573,978433.875,978433.875,94230.9140625,2.178043842315674,10416272.0,10416272.0,94570.5234375,2.1882283687591553,12946518.0,12946518.0
MultiscaleSpectralLossL1,Lightning_VQ_VAE_codebook_loss,0.25,1.0,512.0,,1.0,95704.90625,5.691349983215332,114254.0546875,114254.0546875,88891.125,5.112401962280273,411593.03125,411593.03125,89324.1484375,5.125645637512207,629353.0,629353.0
MultiscaleSpectralLossL1,Lightning_VQ_VAE_codebook_loss,0.25,128.0,512.0,,1.0,98861.375,2.120488166809082,1696888.75,1696888.75,98510.96875,2.121185064315796,1544912.375,1544912.375,98861.375,2.120488166809082,1696888.75,1696888.75
MultiscaleSpectralLossL1,Lightning_VQ_VAE_codebook_loss,0.25,16.0,512.0,,1.0,104201.65625,1.8766484260559082,2003408.125,2003408.125,92875.609375,2.179487466812134,1907359.625,1907359.625,93738.1328125,2.1650335788726807,1973643.0,1973643.0
MultiscaleSpectralLossL1,Lightning_VQ_VAE_codebook_loss,0.25,2.0,512.0,,1.0,107127.8359375,2.398674488067627,875698.0,875698.0,106087.0078125,2.4103288650512695,819456.0,819456.0,107127.8359375,2.398674488067627,875698.0,875698.0
MultiscaleSpectralLossL1,Lightning_VQ_VAE_codebook_loss,0.25,32.0,512.0,,1.0,109399.609375,1.6824184656143188,335040.28125,335040.28125,95420.578125,2.301598072052002,1378587.0,1378587.0,95706.1640625,2.3054213523864746,1595141.25,1595141.25
MultiscaleSpectralLossL1,Lightning_VQ_VAE_codebook_loss,0.25,4.0,512.0,,1.0,157373.515625,2.1378917694091797,4151111.75,4151111.75,101388.171875,1.6024820804595947,2708324.5,2708324.5,102396.28125,1.5958223342895508,3004407.25,3004407.25
MultiscaleSpectralLossL1,Lightning_VQ_VAE_codebook_loss,0.25,64.0,512.0,,1.0,107682.2109375,2.253695487976074,2676526.5,2676526.5,96789.7421875,2.5597801208496094,5516513.0,5516513.0,96766.7109375,2.5214242935180664,3776388.75,3776388.75
MultiscaleSpectralLossL1,Lightning_VQ_VAE_codebook_loss,0.25,8.0,512.0,,1.0,118782.6875,1.2818282842636108,2563161.75,2563161.75,97319.1015625,1.8879706859588623,8118226.0,8118226.0,97221.4765625,1.8964622020721436,8119421.0,8119421.0
